Amplitude,Time
402,2021-09-14 14:27:50.107730
379,2021-09-14 14:27:50.115732
365,2021-09-14 14:27:50.122736
353,2021-09-14 14:27:50.125737
996,2021-09-14 14:27:50.127753
997,2021-09-14 14:27:50.135793
941,2021-09-14 14:27:50.140739
548,2021-09-14 14:27:50.144739
436,2021-09-14 14:27:50.148741
395,2021-09-14 14:27:50.156743
374,2021-09-14 14:27:50.160743
358,2021-09-14 14:27:50.164744
995,2021-09-14 14:27:50.172802
997,2021-09-14 14:27:50.177750
997,2021-09-14 14:27:50.181749
762,2021-09-14 14:27:50.185752
502,2021-09-14 14:27:50.193751
423,2021-09-14 14:27:50.197753
388,2021-09-14 14:27:50.201754
366,2021-09-14 14:27:50.205755
362,2021-09-14 14:27:50.213796
996,2021-09-14 14:27:50.218760
996,2021-09-14 14:27:50.222761
998,2021-09-14 14:27:50.226760
646,2021-09-14 14:27:50.234763
472,2021-09-14 14:27:50.238763
410,2021-09-14 14:27:50.242764
378,2021-09-14 14:27:50.250766
368,2021-09-14 14:27:50.255770
356,2021-09-14 14:27:50.258768
997,2021-09-14 14:27:50.263770
996,2021-09-14 14:27:50.271774
997,2021-09-14 14:27:50.275773
572,2021-09-14 14:27:50.279773
448,2021-09-14 14:27:50.283775
